sample_id,speaker_count,mapping_status,child_speaker_ids,counselor_speaker_ids,mixed_speaker_ids,child_coverage,counselor_coverage,speaker_mapping_json
2717,2,ROLE_MAPPING_OK,1,0,,0.9878,0.8863,"[{""speaker"": 0, ""role"": ""COUNSELOR"", ""child_sec"": 1.5, ""counselor_sec"": 139.4347, ""purity"": 0.9894, ""word_count"": 372}, {""speaker"": 1, ""role"": ""CHILD"", ""child_sec"": 121.4601, ""counselor_sec"": 17.88, ""purity"": 0.8717, ""word_count"": 372}]"
3181,2,ROLE_MAPPING_OK,1,0,,0.9511,0.9938,"[{""speaker"": 0, ""role"": ""COUNSELOR"", ""child_sec"": 4.144, ""counselor_sec"": 156.915, ""purity"": 0.9743, ""word_count"": 428}, {""speaker"": 1, ""role"": ""CHILD"", ""child_sec"": 80.5511, ""counselor_sec"": 0.98, ""purity"": 0.988, ""word_count"": 212}]"
1239,2,ROLE_MAPPING_OK,1,0,,0.985,1.0,"[{""speaker"": 0, ""role"": ""COUNSELOR"", ""child_sec"": 2.348, ""counselor_sec"": 175.7651, ""purity"": 0.9868, ""word_count"": 440}, {""speaker"": 1, ""role"": ""CHILD"", ""child_sec"": 154.4601, ""counselor_sec"": 0.0, ""purity"": 1.0, ""word_count"": 373}]"
2531,2,ROLE_MAPPING_OK,1,0,,0.9501,0.9854,"[{""speaker"": 0, ""role"": ""COUNSELOR"", ""child_sec"": 4.195, ""counselor_sec"": 153.4628, ""purity"": 0.9734, ""word_count"": 390}, {""speaker"": 1, ""role"": ""CHILD"", ""child_sec"": 79.8245, ""counselor_sec"": 2.28, ""purity"": 0.9722, ""word_count"": 198}]"
5036,2,AMBIGUOUS,1,0,,0.77,0.9958,"[{""speaker"": 0, ""role"": ""COUNSELOR"", ""child_sec"": 16.52, ""counselor_sec"": 156.3028, ""purity"": 0.9044, ""word_count"": 427}, {""speaker"": 1, ""role"": ""CHILD"", ""child_sec"": 55.297, ""counselor_sec"": 0.655, ""purity"": 0.9883, ""word_count"": 139}]"
3391,3,ROLE_MAPPING_OK,"1,2",0,,1.0,0.9924,"[{""speaker"": 0, ""role"": ""COUNSELOR"", ""child_sec"": 0.0, ""counselor_sec"": 218.2072, ""purity"": 1.0, ""word_count"": 534}, {""speaker"": 1, ""role"": ""CHILD"", ""child_sec"": 165.7648, ""counselor_sec"": 0.338, ""purity"": 0.998, ""word_count"": 417}, {""speaker"": 2, ""role"": ""CHILD"", ""child_sec"": 7.198, ""counselor_sec"": 1.3439, ""purity"": 0.8427, ""word_count"": 23}]"
0903,2,ROLE_MAPPING_OK,1,0,,0.9978,0.9959,"[{""speaker"": 0, ""role"": ""COUNSELOR"", ""child_sec"": 0.134, ""counselor_sec"": 124.2489, ""purity"": 0.9989, ""word_count"": 341}, {""speaker"": 1, ""role"": ""CHILD"", ""child_sec"": 61.5735, ""counselor_sec"": 0.5103, ""purity"": 0.9918, ""word_count"": 160}]"
3873,4,MIXED_SPEAKER_COLLAPSE,"1,3",0,2,0.7681,0.9274,"[{""speaker"": 0, ""role"": ""COUNSELOR"", ""child_sec"": 3.753, ""counselor_sec"": 152.5929, ""purity"": 0.976, ""word_count"": 418}, {""speaker"": 1, ""role"": ""CHILD"", ""child_sec"": 90.437, ""counselor_sec"": 0.0, ""purity"": 1.0, ""word_count"": 251}, {""speaker"": 2, ""role"": ""MIXED"", ""child_sec"": 24.442, ""counselor_sec"": 11.94, ""purity"": 0.6718, ""word_count"": 95}, {""speaker"": 3, ""role"": ""CHILD"", ""child_sec"": 2.953, ""counselor_sec"": 0.0, ""purity"": 1.0, ""word_count"": 10}]"
3104,2,ROLE_MAPPING_OK,1,0,,0.9204,0.9919,"[{""speaker"": 0, ""role"": ""COUNSELOR"", ""child_sec"": 8.2, ""counselor_sec"": 149.7201, ""purity"": 0.9481, ""word_count"": 423}, {""speaker"": 1, ""role"": ""CHILD"", ""child_sec"": 94.8199, ""counselor_sec"": 1.217, ""purity"": 0.9873, ""word_count"": 253}]"
0042,3,ROLE_MAPPING_OK,1,0,2,0.9226,0.976,"[{""speaker"": 0, ""role"": ""COUNSELOR"", ""child_sec"": 1.554, ""counselor_sec"": 122.6449, ""purity"": 0.9875, ""word_count"": 320}, {""speaker"": 1, ""role"": ""CHILD"", ""child_sec"": 118.0961, ""counselor_sec"": 0.5, ""purity"": 0.9958, ""word_count"": 313}, {""speaker"": 2, ""role"": ""MIXED"", ""child_sec"": 8.36, ""counselor_sec"": 2.52, ""purity"": 0.7684, ""word_count"": 26}]"
