sample_id,comparison_group,deepgram_status,elevenlabs_status,deepgram_child_coverage,elevenlabs_child_coverage,deepgram_counselor_coverage,elevenlabs_counselor_coverage,deepgram_speaker_count,elevenlabs_speaker_count
3370,BOTH_OK,ROLE_MAPPING_OK,ROLE_MAPPING_OK,0.9721,1.0,0.9982,1.0,2,2
3385,ELEVENLABS_ONLY_OK,SINGLE_SPEAKER_COLLAPSE,ROLE_MAPPING_OK,0.0,0.9989,0.0,0.9904,1,2
3391,BOTH_OK,ROLE_MAPPING_OK,ROLE_MAPPING_OK,1.0,1.0,0.9924,1.0,3,2
3447,BOTH_OK,ROLE_MAPPING_OK,ROLE_MAPPING_OK,0.9795,1.0,0.8919,0.9975,2,2
3455,BOTH_OK,ROLE_MAPPING_OK,ROLE_MAPPING_OK,0.9997,1.0,0.9883,1.0,2,2
3549,DEEPGRAM_ONLY_OK,ROLE_MAPPING_OK,SINGLE_SPEAKER_COLLAPSE,0.9797,0.0,0.9748,0.0,2,1
3568,BOTH_OK,ROLE_MAPPING_OK,ROLE_MAPPING_OK,0.9902,1.0,0.8881,1.0,2,2
3570,BOTH_OK,ROLE_MAPPING_OK,ROLE_MAPPING_OK,0.9777,1.0,0.9838,1.0,2,2
3660,BOTH_OK,ROLE_MAPPING_OK,ROLE_MAPPING_OK,0.9558,1.0,0.9907,1.0,2,2
3669,BOTH_OK,ROLE_MAPPING_OK,ROLE_MAPPING_OK,0.9726,1.0,1.0,1.0,2,2
3693,BOTH_OK,ROLE_MAPPING_OK,ROLE_MAPPING_OK,0.9852,1.0,1.0,1.0,2,2
3726,ELEVENLABS_ONLY_OK,AMBIGUOUS,ROLE_MAPPING_OK,0.7984,1.0,0.9595,1.0,2,2
3756,BOTH_OK,ROLE_MAPPING_OK,ROLE_MAPPING_OK,0.967,1.0,0.9649,1.0,3,2
3807,BOTH_OK,ROLE_MAPPING_OK,ROLE_MAPPING_OK,0.8565,1.0,0.9954,1.0,2,2
3859,BOTH_OK,ROLE_MAPPING_OK,ROLE_MAPPING_OK,0.9941,1.0,0.9848,1.0,2,2
3873,ELEVENLABS_ONLY_OK,MIXED_SPEAKER_COLLAPSE,ROLE_MAPPING_OK,0.7681,1.0,0.9274,1.0,4,2
3905,BOTH_OK,ROLE_MAPPING_OK,ROLE_MAPPING_OK,0.8535,1.0,0.8899,1.0,3,2
3920,BOTH_OK,ROLE_MAPPING_OK,ROLE_MAPPING_OK,0.9964,1.0,0.9988,1.0,2,2
5036,ELEVENLABS_ONLY_OK,AMBIGUOUS,ROLE_MAPPING_OK,0.77,1.0,0.9958,1.0,2,2
5050,BOTH_OK,ROLE_MAPPING_OK,ROLE_MAPPING_OK,0.9933,1.0,0.9962,1.0,2,2
5064,BOTH_OK,ROLE_MAPPING_OK,ROLE_MAPPING_OK,0.9107,1.0,0.9939,1.0,2,2
5074,ELEVENLABS_ONLY_OK,SINGLE_SPEAKER_COLLAPSE,ROLE_MAPPING_OK,0.0,1.0,0.0,0.9909,1,2
